Year,Month,Day,date_base
2004,2,16,2004-02-16
2004,2,17,2004-02-17
2004,2,21,2004-02-21
2004,3,17,2004-03-17
2004,3,18,2004-03-18
2004,3,19,2004-03-19
2004,3,20,2004-03-20
2004,3,21,2004-03-21
2004,3,22,2004-03-22
2004,4,18,2004-04-18
2004,4,19,2004-04-19
2004,4,20,2004-04-20
2004,4,21,2004-04-21
2004,4,22,2004-04-22
2004,4,23,2004-04-23
2004,4,24,2004-04-24
2004,4,25,2004-04-25
2004,5,15,2004-05-15
2004,5,16,2004-05-16
2004,5,17,2004-05-17
2004,5,18,2004-05-18
2004,5,19,2004-05-19
2004,5,20,2004-05-20
2004,6,14,2004-06-14
2004,6,15,2004-06-15
2004,6,16,2004-06-16
2004,6,17,2004-06-17
2004,6,18,2004-06-18
2004,7,13,2004-07-13
2004,7,14,2004-07-14
2004,7,15,2004-07-15
2004,7,16,2004-07-16
2004,7,17,2004-07-17
2004,7,18,2004-07-18
2004,7,19,2004-07-19
2004,8,12,2004-08-12
2004,8,13,2004-08-13
2004,8,14,2004-08-14
2004,8,15,2004-08-15
2004,8,16,2004-08-16
2004,8,17,2004-08-17
2004,8,18,2004-08-18
2004,9,8,2004-09-08
2004,9,9,2004-09-09
2004,9,10,2004-09-10
2004,9,11,2004-09-11
2004,9,12,2004-09-12
2004,9,13,2004-09-13
2004,9,14,2004-09-14
2004,9,22,2004-09-22
2004,9,23,2004-09-23
2004,10,15,2004-10-15
2004,10,16,2004-10-16
2004,11,12,2004-11-12
2004,11,14,2004-11-14
2004,11,15,2004-11-15
2004,11,16,2004-11-16
2004,12,9,2004-12-09
2004,12,11,2004-12-11
2004,12,19,2004-12-19
2004,12,20,2004-12-20
2005,1,7,2005-01-07
2005,1,8,2005-01-08
2005,1,9,2005-01-09
2005,1,10,2005-01-10
2005,1,11,2005-01-11
2005,1,12,2005-01-12
2005,1,13,2005-01-13
2005,2,5,2005-02-05
2005,3,10,2005-03-10
2005,3,11,2005-03-11
2005,3,12,2005-03-12
2005,4,5,2005-04-05
2005,4,6,2005-04-06
2005,4,7,2005-04-07
2005,4,8,2005-04-08
2005,5,5,2005-05-05
2005,5,6,2005-05-06
2005,5,7,2005-05-07
2005,5,8,2005-05-08
2005,6,6,2005-06-06
2005,6,7,2005-06-07
2005,6,8,2005-06-08
2005,6,20,2005-06-20
2005,6,21,2005-06-21
2005,6,22,2005-06-22
2005,6,23,2005-06-23
2005,7,8,2005-07-08
2005,7,9,2005-07-09
2005,7,10,2005-07-10
2005,7,11,2005-07-11
2005,8,5,2005-08-05
2005,8,6,2005-08-06
2005,8,7,2005-08-07
2005,9,3,2005-09-03
2005,9,4,2005-09-04
2005,9,5,2005-09-05
2005,10,2,2005-10-02
2005,10,10,2005-10-10
2005,10,31,2005-10-31
2005,11,1,2005-11-01
2005,11,30,2005-11-30
2005,12,26,2005-12-26
2005,12,29,2005-12-29
2006,1,29,2006-01-29
2006,1,30,2006-01-30
2006,2,23,2006-02-23
2006,2,24,2006-02-24
2006,3,28,2006-03-28
2006,3,29,2006-03-29
2006,4,24,2006-04-24
2006,4,25,2006-04-25
2006,4,26,2006-04-26
2006,5,25,2006-05-25
2006,5,26,2006-05-26
2006,5,27,2006-05-27
2006,5,28,2006-05-28
2006,7,29,2006-07-29
2006,7,30,2006-07-30
2006,7,31,2006-07-31
2006,8,1,2006-08-01
2006,8,19,2006-08-19
2006,9,24,2006-09-24
2006,10,27,2006-10-27
2008,1,1,2008-01-01
2008,1,2,2008-01-02
2008,1,3,2008-01-03
2008,1,4,2008-01-04
2008,2,5,2008-02-05
2008,3,5,2008-03-05
2008,3,6,2008-03-06
2008,3,7,2008-03-07
2008,3,8,2008-03-08
2008,3,9,2008-03-09
2008,3,10,2008-03-10
2008,4,4,2008-04-04
2008,4,5,2008-04-05
2008,5,3,2008-05-03
2008,5,4,2008-05-04
2008,5,6,2008-05-06
2008,6,2,2008-06-02
2008,6,3,2008-06-03
2008,6,4,2008-06-04
2008,6,5,2008-06-05
2008,6,6,2008-06-06
2008,6,7,2008-06-07
2008,6,30,2008-06-30
2008,7,1,2008-07-01
2008,7,3,2008-07-03
2008,7,4,2008-07-04
2008,7,5,2008-07-05
2008,7,28,2008-07-28
2008,7,29,2008-07-29
2008,7,30,2008-07-30
2008,7,31,2008-07-31
2008,8,1,2008-08-01
2008,8,2,2008-08-02
2008,8,26,2008-08-26
2008,8,27,2008-08-27
2008,8,28,2008-08-28
2008,8,29,2008-08-29
2008,8,30,2008-08-30
